x1,x2,x3,y
0.005082045,1.228495271,6.092721747,52.50056173
4.323807109,1.075393349,3.880087547,17.11089731
6.052114545,1.400888411,2.000360144,20.33573281
7.901690177,1.443856532,2.081426529,18.03875233
9.73332432,2.428333192,3.297642969,58.83631848
8.468823378,2.232575412,6.713831356,131.9701081
9.977240033,3.338009471,4.004263086,80.53864322
6.473012164,2.767852891,2.749722997,38.75543285
1.564647603,1.65781352,3.524815247,32.8390135
0.277440949,3.664946223,2.828454393,49.82988149
9.473991349,3.751771532,3.870729178,89.42805186
1.041895826,2.934077573,5.321148204,99.29290979
5.611357393,2.166016085,5.658298238,83.34024236
7.653130938,3.828701739,2.674846456,48.95892846
5.396874547,2.835851572,3.24213963,41.27810788
4.719479782,3.540808221,6.881903249,200.5342851
7.075753974,1.533764764,5.519227757,64.44001662
2.752737837,3.737919758,4.137961252,91.79698951
4.698420101,1.487682372,2.719046455,15.16828835
8.645158678,1.393790622,4.292698389,45.52847266
5.883363762,1.829286832,5.001273849,60.59556966
9.867132898,2.039049011,5.770689044,86.29856335
9.406384111,1.26529275,2.931202388,16.06064706
9.472325945,1.576142368,6.114871876,74.3335955
5.670172913,1.978558316,3.144227209,33.87184946
0.122275452,3.314224748,6.529623862,165.4400728
3.121150109,3.722239502,6.767629841,199.8207085
8.727686312,2.054935887,4.507588739,57.60407075
1.671503743,2.16496619,3.660595099,41.65833738
8.643767038,1.476316789,2.972597979,26.36314823
6.607643567,3.540811728,2.395576203,47.29401875
1.092262741,1.639269915,2.818191828,21.52377819
9.737884642,1.001499693,5.164310492,39.40155846
2.043625545,3.884636012,5.791902544,156.2909466
5.427724405,3.928403715,4.430358332,105.3104737
0.19076505,3.378431214,3.337068577,54.49747789
5.787191661,1.554379902,5.107588654,52.50087986
4.357943026,1.447109895,6.199901796,51.9029871
1.917841127,1.775701958,2.991111653,22.27334792
9.305092791,2.84857418,5.934915046,130.772638
8.076668429,3.833101811,4.691954881,129.4629725
6.674458708,2.361014391,4.54517204,78.8765236
3.009871626,1.846001767,4.784828769,51.82649202
0.569251164,1.035356565,3.595147703,24.81004225
0.701747477,1.310146736,4.056485873,30.4407391
6.719610776,3.60458735,6.522252203,190.3064164
5.451989951,1.43846031,6.331682288,71.84973685
4.850046518,3.103448915,6.612669812,156.5665153
5.642850718,2.940496982,4.818687417,89.12371227
8.087983629,1.62431935,2.931623087,31.73779186
7.954904925,2.150742305,5.382959128,88.32948456
1.122049077,3.381403083,3.786504674,67.26318774
5.010666285,3.31878655,2.900894392,52.63730697
0.697660361,3.345125935,4.067318663,64.34004561
8.66924874,2.529455392,6.004810514,112.6106151
8.787796406,1.770848245,3.256416363,34.62860086
8.911776136,2.79949369,5.324940937,102.1125193
6.370098609,2.693675796,2.884824435,45.82242987
7.008329827,2.06338488,4.160427679,50.97349093
3.975803302,1.483183924,2.479101136,19.97422535
7.799988139,2.570030332,3.504767172,62.52238259
2.790284167,1.464518107,5.598518367,51.13803021
1.267709641,3.715155946,3.917703136,76.66848135
8.598861198,3.101536809,4.191978849,82.4173011
9.895435688,3.80171785,2.04545973,47.86743853
6.542666679,2.578712301,2.862653871,45.87891932
0.500490067,1.824225397,2.415996388,15.59570806
8.283969346,1.691769896,5.275640798,65.30017976
9.196760501,1.934761967,4.174541934,58.74947132
0.857291065,2.097000788,5.212424018,63.19507378
9.262355764,3.983638838,4.589574094,113.9342309
8.878593849,1.458918638,2.658113777,26.89350324
2.426657653,3.497184219,4.146444451,85.87359976
3.998186363,1.821252836,6.967247104,100.3072203
1.042608616,3.738083768,3.903282596,74.05892642
9.563260148,2.41510962,6.1946949,111.7868926
1.748794662,3.958344925,2.243448325,49.2301506
5.091738507,1.261834932,2.899005377,27.254661
4.229237577,2.811116184,5.516047265,115.1935717
6.344179529,1.114994107,3.489274584,27.6083734
5.468219303,1.881568015,4.116230691,43.06666409
1.29093816,2.455968147,4.668871747,64.83650867
4.95182746,1.505980114,5.858168869,64.14109779
5.003615632,2.826792246,3.190076238,53.97111852
4.275238582,2.513946472,5.12803463,79.42121008
6.037447038,3.356949867,5.590009133,136.5999743
0.876082566,1.422772394,3.094347253,18.99293116
2.154082789,2.032741895,4.44640405,57.56860843
3.623514051,1.43597723,6.42955846,71.4856146
2.301792973,2.46526442,6.997855764,143.3694795
1.402399216,2.40955138,5.93280123,101.1076958
7.178978142,3.521635427,2.814155432,54.44310367
2.840257071,2.597802609,5.134611378,87.42799806
5.673619955,3.452000485,3.63194505,78.85066412
1.014625952,3.263588336,4.997675295,96.51901588
9.459001552,1.117082749,5.743027726,56.43338388
3.648562607,1.313103187,6.312659724,58.55570168
6.350696125,1.870320493,2.307637476,19.45899945
