t1,t2,y
20.015,20.026,0.43488
20.042,20.028,-0.59498
20.006,20.013,0.28751
20.11,20.082,-0.99982
20,20,0.026354
20.001,20.008,0.13966
20.107,20.086,-0.98593
20.054,20.07,0.78494
20.038,20.05,0.66639
20.025,20.037,0.55033
20.028,20.039,0.57627
20.009,19.998,-0.25274
20.056,20.037,-0.69538
20.012,20.002,-0.29548
20.006,20.011,0.2902
20.066,20.086,0.86387
20.075,20.058,-0.81336
20.019,20.025,0.47756
20.088,20.065,-0.88947
20.022,20.038,0.51432
20.002,19.999,-0.073021
20.092,20.076,-0.90999
20.04,20.055,0.68406
20.052,20.035,-0.67058
20.067,20.052,-0.76985
20.026,20.02,-0.45688
20.018,20.013,-0.37123
20.003,20.009,0.21218
20.01,20.015,0.35493
20.086,20.105,0.97528
20.088,20.103,0.98652
20.022,20.031,0.51507
20.025,20.013,-0.44988
20.074,20.092,0.90803
20.005,20.003,-0.17784
20.038,20.026,-0.56675
20.005,20.012,0.25826
20.104,20.085,-0.97026
20.093,20.075,-0.9134
20.048,20.035,-0.63948
20.042,20.03,-0.59907
20.015,20.028,0.43872
20.003,20,-0.11426
20.041,20.054,0.69099
20.008,20.002,-0.22042
20.039,20.053,0.6751
20.02,20.028,0.49684
20.002,20.006,0.16772
20.053,20.041,-0.67885
20,20.002,0.05768
20.002,19.997,-0.074658
20.009,19.999,-0.24091
20.075,20.059,-0.81354
20.029,20.018,-0.48171
20.015,20.006,-0.32833
20.009,20.006,-0.24978
20.058,20.046,-0.70748
20.018,20.005,-0.36646
20.024,20.015,-0.43755
20.035,20.053,0.64025
20.014,20.01,-0.31582
20.048,20.067,0.744
20.027,20.015,-0.46394
20.025,20.037,0.55086
20.003,20.005,0.21842
20.103,20.084,-0.96406
20.013,20.022,0.40302
20.104,20.094,-0.9685
20.01,20.013,0.36779
20.05,20.062,0.7558
20.004,19.998,-0.13639
20.005,20.011,0.26269
20.002,20.01,0.17208
20.036,20.03,-0.54518
20.027,20.043,0.56931
20.023,20.017,-0.42473
20.064,20.08,0.84875
20.021,20.016,-0.40305
20,20,0.072606
20.015,20.006,-0.33271
20.033,20.023,-0.52541
20,20.007,0.090478
20.07,20.059,-0.78463
20.06,20.047,-0.72569
20.074,20.059,-0.81115
20.019,20.012,-0.37823
20.033,20.047,0.62527
20,20.002,0.027115
20.047,20.06,0.73295
20.083,20.105,0.96097
20.016,20.012,-0.34669
20.038,20.023,-0.56077
20,20,0.036447
20.012,20.001,-0.29399
20.045,20.055,0.71895
20.028,20.017,-0.47996
20.041,20.057,0.68744
20.002,20.001,0.1656
20.015,20.029,0.43881
20.013,20.005,-0.31295
20.106,20.085,-0.98145
20.044,20.036,-0.61511
20,20,0.014776
20.1,20.083,-0.95152
20.001,20.004,0.10008
20.025,20.019,-0.44763
20.012,20.02,0.39248
20.051,20.062,0.76271
20.1,20.083,-0.95064
20.014,20.01,-0.31759
20.005,20.005,-0.15719
20.079,20.058,-0.83998
20.08,20.061,-0.84129
20.082,20.064,-0.85525
20.057,20.074,0.80068
20.079,20.095,0.93862
20.007,20.005,-0.21739
20.018,20.01,-0.37283
20.001,20.006,0.10663
20.029,20.04,0.5841
20.03,20.041,0.59663
20.046,20.057,0.72652
20.03,20.036,0.59592
20.108,20.085,-0.98725
20.063,20.076,0.8398
20.103,20.078,-0.96408
20.098,20.086,-0.94117
20.014,20.023,0.4229
20,19.998,0.076828
20,19.995,0.049177
20,20.001,0.0044799
20.084,20.069,-0.86866
20.035,20.025,-0.53992
20.067,20.052,-0.76592
20.086,20.103,0.97954
20.083,20.064,-0.85897
20.087,20.071,-0.87995
20.008,20.016,0.32315
20.013,20.004,-0.31188
20.063,20.044,-0.74297
20.005,20.018,0.27427
20.02,20.036,0.49298
20.032,20.045,0.61053
20.026,20.014,-0.46195
20.004,19.996,-0.13204
20.006,20.006,-0.19639
20.003,20.012,0.21628
20.024,20.029,0.54017
20.069,20.094,0.88225
20.062,20.043,-0.73707
20.029,20.019,-0.48855
20.009,20.003,-0.24338
20.088,20.107,0.98747
20.014,20.008,-0.3181
20.056,20.07,0.7991
20.033,20.018,-0.52504
20.037,20.033,-0.56
20.087,20.108,0.98215
20.073,20.092,0.90221
20.005,20.015,0.27643
20,20.002,0.0082617
20.011,20.008,-0.28376
20.024,20.038,0.5369
20.027,20.04,0.56873
20.098,20.083,-0.94216
20.089,20.068,-0.89512
20.016,20.016,-0.35316
20.03,20.043,0.59937
20.005,20.011,0.26046
20.084,20.1,0.9656
20.054,20.04,-0.6835
20.004,20.009,0.23335
20.019,20.012,-0.38257
20.078,20.062,-0.82984
20.05,20.068,0.75366
20.002,20.011,0.1814
20.02,20.011,-0.39375
20.051,20.035,-0.66386
20.014,20.005,-0.32025
20.084,20.064,-0.86511
20.007,20.01,0.30698
20.032,20.023,-0.51143
20.022,20.031,0.51584
20.021,20.008,-0.40197
20.005,20.001,-0.16237
20.088,20.065,-0.88834
